LABNR,C14AGE,C14STD,C13,MATERIAL,SITE,COUNTRY,FEATURE,FEATURE_DESC,PHASE,POTTERY,ASSOCIATION,REL,LAT,LONG,SOURCE
Gif-460,3930,200,0,,Bittori,COG,,,Tshitolien,,,0,-3.904596,14.502274,Kouyoumontzakis u.a. 1985
Gif-4614,670,200,0,Charcoal,Ntadi-Yomba,COG,,,,,,0,-4.25,13.766667,Kouyoumontzakis u.a. 1985
Gif-4653,6890,160,0,Shell (Land),Ntadi-Yomba,COG,,,Tshitolien,,,0,-4.25,13.766667,Kouyoumontzakis u.a. 1985
Gif-4821,2340,100,0,Charcoal,Sou Blame Radjil,CMR,,,,,,,12.2,14.683333,de Maret 1985
Gif-4822,1340,100,0,Charcoal,Sou,CMR,,,,,,,12.2,14.7,de Maret 1985
Gif-4833,1340,90,0,Charcoal,Sou,CMR,,,,,,,12.2,14.7,de Maret 1985
Gif-4932,850,90,0,Charcoal,Sou,CMR,,,,,,,12.2,14.7,de Maret 1985
Gif-4934,2800,110,0,Charcoal,Sou Blame Radjil,CMR,,,,,,,12.2,14.683333,de Maret 1985
Gif-4963,990,200,0,,Gankieli,COG,,,,,,0,-1.716667,15.916667,Kouyoumontzakis u.a. 1985
Gif-4964,7200,140,0,,Imporo,COG,,,,,,0,-1.6,15.95,Kouyoumontzakis u.a. 1985
Gif-4967,21600,580,0,,Olombo,COG,,,,,,0,-1.266667,15.9,Kouyoumontzakis u.a. 1985
Gif-4990,0,0,0,Charcoal,Goray,CMR,,,,,,,10.5,14.5,de Maret 1985
Gif-4993,0,0,0,Charcoal,Biou,CMR,,,,,,,9.866667,14.1,de Maret 1985
Gif-4994,690,60,0,Charcoal,Bidzar,CMR,,,,,,,9.883333,14.1,de Maret 1985
Gif-5121,4080,110,0,,Bacongo,COG,,,,,,0,-4.291667,15.266667,Kouyoumontzakis u.a. 1985
Gif-5209,0,0,0,Charcoal,Ko Bi Doe,CAF,,,,,,,6.3,15.9,de Maret 1985
Gif-5210,350,80,0,Charcoal,Ko Bi Doe,CAF,,,,,,,6.3,15.9,de Maret 1985
Gif-5211,220,80,0,,Toala,CAF,,,,,,,6.352778,15.998333,de Maret 1985
Gif-5212,410,100,0,,Toala,CAF,,,,,,,6.352778,15.998333,de Maret 1985
Gif-5218,33800,800,0,,Owando,COG,,,,,,0,-0.5,15.916667,Kouyoumontzakis u.a. 1985
Gif-5220,2960,100,0,,Abala,COG,,,,,,0,-1.333333,15.533333,Kouyoumontzakis u.a. 1985
Gif-5221,3540,100,0,,Gamboma,COG,,,,,,0,-1.833333,15.833333,Kouyoumontzakis u.a. 1985
Gif-5250,920,80,0,Charcoal,Goray,CMR,,,,,,,10.5,14.5,de Maret 1985
Gif-5251,1030,80,0,Charcoal,Goray,CMR,,,,,,,10.5,14.5,de Maret 1985
Gif-5252,720,80,0,Charcoal,Hago,RWA,,,,,,,-1.683333,30.683333,de Maret 1985
Gif-5434,4580,110,0,Charcoal,Bacongo,COG,,,,,,0,-4.291667,15.266667,Kouyoumontzakis u.a. 1985
Gif-5435,6890,160,0,Charcoal,Bacongo,COG,,,,,,0,-4.291667,15.266667,Kouyoumontzakis u.a. 1985
Gif-5436,21600,800,0,,Hinda,COG,,,,,,0,4.7,11.95,Kouyoumontzakis u.a. 1985
Gif-5437,19900,700,0,Charcoal,Hinda,COG,,,,,,0,4.7,11.95,Kouyoumontzakis u.a. 1985
Gif-5463,1180,120,0,Charcoal,Goray,CMR,,,,,,,10.5,14.5,de Maret 1985
Gif-5666,650,60,0,,Toala,CAF,,,,,,,6.352778,15.998333,de Maret 1985
Gif-5667,1200,60,0,,Toala,CAF,,,,,,,6.352778,15.998333,de Maret 1985
Gif-5668,390,70,0,,Toala,CAF,,,,,,,6.352778,15.998333,de Maret 1985
Gif-5669,1560,80,0,,Toala,CAF,,Trench,,,,,6.352778,15.998333,de Maret 1985
Gif-5696,3190,100,0,,Gamboma,COG,,,,,,0,-1.833333,15.833333,Kouyoumontzakis u.a. 1985
Gif-5697,1950,90,0,,Okoyo,COG,,,,,,0,-1.35,15.2,Kouyoumontzakis u.a. 1985
Gif-5698,2660,100,0,,Boundji,COG,,,,,,0,-1.027618,15.358715,Kouyoumontzakis u.a. 1985
Gif-5699,18100,400,0,,Boundji,COG,,,,,,0,-1.027618,15.358715,Kouyoumontzakis u.a. 1985
Gif-5700,9410,170,0,,Oyo,COG,,,,,,0,-1.116667,15.95,Kouyoumontzakis u.a. 1985
Gif-5701,31000,2200,0,,Oyo,COG,,,,,,0,-1.116667,15.95,Kouyoumontzakis u.a. 1985
Gif-5796,1460,90,0,Charcoal,Nzabi,COG,,,,,,0,-2.383333,14.45,Kouyoumontzakis u.a. 1985
Gif-5821,4920,110,0,,Bacongo,COG,,,,,,0,-4.291667,15.266667,Kouyoumontzakis u.a. 1985
Gif-5894,1590,90,0,Charcoal,Batalimo,CAF,,Trench,,,,,3.675942,18.455022,de Maret 1985; Eggert 1993
Gif-5972,590,60,0,Charcoal,Bugarama,RWA,,,,,,,-2.610004,29.02,de Maret 1985
Gif-5986,660,80,0,Charcoal,Mpassa,COG,,,,,,,-4.3,14.266667,de Maret 1985
Gif-5987,4870,90,0,Charcoal,Sabiliere,GAB,,,LSA,,,0,0.5,9.383333,Clist 1989
Gif-6011,720,60,0,Honey,Kitala II,AGO,,,,,,,-9.033333,13.083333,de Maret 1985
Gif-6053,2370,80,,,Gangalingolo,COG,,,,,,0,-4.2167,14.15,de Maret 1985; Garcin et al. 2018
Gif-6121,1230,70,0,Charcoal,Mikouloungou 4,GAB,,,,,,,-1.6319,13.3472,Clist 2004/05
Gif-6175,7500,90,0,Charcoal,Sabiliere,GAB,,,LSA,,,0,0.5,9.383333,Clist 1989
Gif-6176,32000,1000,0,Charcoal,Sabiliere,GAB,,,,,,0,0.5,9.383333,Clist 2004/05
Gif-6182,1120,60,0,Charcoal,Kamabanga I,AGO,,,,,,,-9.05,13.083333,de Maret 1985
Gif-6311,7400,110,,,ORSTOM,COG,,,,,,,-4.2667,15.2333,de Maret 1985; Garcin et al. 2018
Gif-6417,3250,80,0,Charcoal,Makokou,GAB,,,,,,,0.5738,12.8642,Clist 2004/05
Gif-6423,1970,70,0,Charcoal,Otoumbi 2,GAB,,,,,,0,-0.0675,11.091667,Clist 2004/05
Gif-6424,1650,70,0,Shell (River/Ocean),Oveng,GAB,,,,Oveng,,0,0.478611,9.516667,Clist 2004/05
Gif-6425,0,0,0,Charcoal,Obaka 4,GAB,,,,,,,,,Clist 2004/05
Gif-6426,1150,60,0,Charcoal,Sabiliere,GAB,,,,Groupe II,,0,0.5,9.383333,Clist 2004/05
Gif-6427,3250,80,0,Charcoal,Plateau de Mpassa,GAB,,,,,,,-1.7,13.63,Clist 2004/05
Gif-6502,200,100,0,,Konga,COG,,,,,,,-2.329465,12.792931,Pincon 1991
Gif-6504,3700,90,,,Ntsimou,COG,,,,,,,-3.56528,15.20667,Assoko Ndong 2001; Garcin et al. 201
Gif-6674,1140,200,0,Charcoal,"Moanda Pk 29,5",GAB,,,,,,,-1.617,13.467,Clist 2004/05
Gif-6675,1850,70,0,Charcoal,"Moanda Pk 28,5",GAB,,,,,,,-1.6167,13.4667,Clist 2004/05
Gif-6676,80,50,0,Charcoal,"Moanda Pk 21,5",GAB,,,,,,,-1.5833,13.4167,Clist 2004/05
Gif-6677,1010,200,0,Charcoal,Mouila 2,GAB,,,,,,,-1.984722,11.033333,Clist 2004/05
Gif-6678,2490,50,0,Charcoal,Sabiliere,GAB,,,,,,0,0.5,9.383333,Clist 2004/05
Gif-6759,200,100,0,Charcoal,Plateau de Mpassa,GAB,,,,,,,-1.7,13.63,Clist 2004/05
Gif-6905,1670,80,0,Charcoal,Kafele 2,GAB,,,,Oveng,,,0.1575,10.12,Clist 2004/05
Gif-6906,2270,60,0,Charcoal,Kango 5,GAB,,,,,,,0.200833,10.0825,Clist 2004/05
Gif-6907,6450,80,0,Charcoal,Sabiliere,GAB,,,LSA,,,0,0.5,9.383333,Clist 1989
Gif-6908,1860,60,0,Charcoal,Otoumbi 1,GAB,,,,,,,-0.0675,11.085,Clist 2004/05
Gif-6909,2130,60,0,Charcoal,Mont Brazza,GAB,,,,,,,-0.1278,11.5889,Clist 2004/05
Gif-6909,2130,60,0,,Okanda 1,GAB,,,,,,,-0.127778,11.588889,Oslisly 1992
Gif-7130,2400,50,0,,Otoumbi 2,GAB,,,,,,0,-0.0675,11.091667,Oslisly 1992
Gif-7195,2760,60,0,Charcoal,Plateau de Mpassa,GAB,,,,,,0,-1.7,13.63,Clist 2004/05
Gif-7196,1630,50,0,,Otoumbi 5,GAB,,Pit,,,,,-0.0625,11.124167,Oslisly 1992
Gif-7197,1700,50,0,,Otoumbi 5,GAB,,Pit,,,,,-0.0625,11.124167,Oslisly 1992
Gif-7198,2760,60,,,Plateau de Mpassa,GAB,,,,,,0,-1.7,13.63,Clist 2004/05; Garcin et al. 2018
Gif-7250,34600,1500,0,Peat,Sabiliere,GAB,,,,,,0,0.5,9.383333,Clist 2004/05
Gif-7430,1640,70,0,Charcoal,Otoumbi 8,GAB,,,,,,,-0.047222,11.119444,Oslisly 1992
Gif-7434,1720,60,0,,Obelango,COG,,,,,,,-1.26556,15.46306,Pincon 1991
Gif-7435,1540,60,0,,Bime (Kibouende),COG,,,,,,,-4.15556,15.18083,Pincon 1991
Gif-7436,1120,50,0,,Ntsimou,COG,,,,,,,-3.56528,15.20667,Pincon 1991
Gif-7437,670,50,0,,Itebe,COG,,,,,,,-2.98778,14.14528,Pincon 1991
Gif-7438,430,50,0,,Ngidi,COG,,,,,,,-4.06667,15.08333,Pincon 1991
Gif-7439,440,50,0,,Bime (Kibouende),COG,,,,,,,-4.15556,15.18083,Pincon 1991
Gif-7524,1910,40,0,,Lindili,GAB,,Pit,,,,,-0.148611,11.502778,Oslisly 1992
Gif-7525,2280,80,0,Charcoal,Lope 12,GAB,,,,,,,-0.208333,11.594444,Clist 2004/05
Gif-7526,0,0,0,Charcoal,Otoumbi 10,GAB,,,,,,,,,Clist 2004/05
Gif-7602,1970,60,0,,Lokoku,COD,,,,,,,,,de Bayle des Hermens 1990
Gif-7774,2310,70,0,,Lope 10,GAB,,,,,,,-0.177778,11.604167,Oslisly 1992
Gif-7775,1730,60,0,,Mingoue,GAB,5,,,,,,-0.18,11.36,Clist 2004/05
Gif-7776,2110,70,0,,Okanda 2,GAB,,,,,,,-0.119444,11.575,Oslisly 1992
Gif-7777,1420,50,0,,Mbama 1,GAB,,,,,,,-0.1,11.8,Clist 2004/05
Gif-7815,1400,70,0,Charcoal,Mingoue,GAB,11; A4,A4,,,,,-0.18,11.36,Clist 2004/05
Gif-8049,1480,80,0,Charcoal,Mingoue,GAB,11; A3,A3,,,,,-0.18,11.36,Clist 2004/05
Gif-8050,500,30,0,Charcoal,Otoumbi 3,GAB,,,,,,,-0.0667,11.1167,Clist 2004/05
Gif-8051,1850,60,0,Charcoal,Elarmekora 3,GAB,,,,,,,-0.088,11.171,Clist 2004/05
Gif-81138,1910,40,,,Lindili 1,GAB,,,,,,,3.24,11.3009,Assoko Ndong 2001; Garcin et al. 2018
Gif-8130,1940,40,,,Epona,GAB,,,,,,,-0.106,11.147,Assoko Ndong 2001; Garcin et al. 2018
Gif-8138,1910,40,0,Charcoal,Lindili 1,GAB,,,,,,,-0.158056,11.5025,Clist 2004/05
Gif-8139,1935,40,0,Charcoal,Epona,GAB,,,,,,,-0.090278,11.140278,Oslisly 1992
Gif-8140,2010,40,0,,Mingoue,GAB,1,,,,,,-0.18,11.36,Oslisly 1992
Gif-8151,2210,40,0,Charcoal,Oveng,GAB,,,,Oveng,,,0.478611,9.516667,Clist 2004/05
Gif-8152,440,50,0,Charcoal,Okala 1,GAB,,,,,,,0.490556,9.4125,Clist 2004/05
Gif-8153,810,50,0,Shell (Land),Bolokoboue,GAB,,,,,,0,0.6431,9.4108,Clist 2004/05
Gif-8154,860,40,0,,Impe,COG,,,,,,,-2.72917,15.26972,Pincon 1991
Gif-8155,880,50,,,Inoni Falaise,COG,,,,,,,-3.0167,15.6667,Dupre/Pincon 1997; Garcin et al. 2018
Gif-8156,130,50,0,,Masamasa II,COG,,,,,,,-3.87806,14.88417,Pincon 1991
Gif-8159,960,30,,,Ngoulonkila 1,COG,,,,,,,-2.4333,14.5833,Dupre/Pincon 1997; Garcin et al. 2018
Gif-8160,300,90,,,Inoni,COG,,,,,,,-3.0333,15.333,Dupre/Pincon 1997; Garcin et al. 2018
Gif-8161,110,80,,,Ingamfini 2,COG,,,,,,,-3.85,15.65,Dupre/Pincon 1997; Garcin et al. 2018
Gif-8162,80,30,,,Mah 2,COG,,,,,,,-3.3333,15.467,Dupre/Pincon 1997; Garcin et al. 2018
Gif-8163,410,50,,,Ingolo,COG,,,,,,,-3.4667,15.333,Dupre/Pincon 1997; Garcin et al. 2018
Gif-8164,130,50,0,,Mafamba,COG,,,,,,,-3.366667,16.183333,Pincon 1991
Gif-8165,1770,50,0,Charcoal,Koualessis,GAB,,,,,,,1.385833,11.639722,Clist 2004/05
Gif-8177,880,50,0,,Ioni Falaise,,,,,,,,-3.06778,15.64972,Pincon 1991
Gif-8605,1260,90,,,Ingamfini 1,COG,,,,,,,-3.8833,15.6667,Dupre/Pincon 1997; Garcin et al. 2018
Gif-8606,470,40,,,Ossa,COG,,,,,,,-2.5167,15.25,Dupre/Pincon 1997; Garcin et al. 2018
Gif-8607,960,60,,,Mah 1,COG,,,,,,,-3.3443,15.4858,Dupre/Pincon 1997; Garcin et al. 2018
Gif-8609,1910,50,,,Loukoko 1,COG,,,,,,,-4.5167,14.6,Dupre/Pincon 1997; Garcin et al. 2018
Gif-8610,760,40,0,,Akom,GNQ,,,,,,,1.8667,9.9,Clist 1998
Gif-8611,2210,80,0,Charcoal,Okala 1,GAB,,Pit,,,,,0.490556,9.4125,Clist 2004/05
Gif-8612,2170,50,0,,Okala 1,GAB,,Pit,,,,,0.490556,9.4125,Clist 2004/05
Gif-8613,0,0,0,Charcoal,Elarmitang,GAB,,,,,,,,,Clist 2004/05
Gif-8614,5580,60,0,Charcoal,Okala 1,GAB,,,,,,,0.490556,9.4125,Clist 2004/05
Gif-8740,1600,60,0,,Anzem 1,GAB,,,,,,,0.6,10.5,Clist 2004/05
Gif-8741,2130,60,0,,Epona,GAB,,,,,,,-0.090278,11.140278,Oslisly 1992
Gif-8742,2850,90,0,,Epona,GAB,,,,,,0,-0.090278,11.140278,Oslisly 1992
Gif-8966,1870,50,0,,Okala 1,GAB,,Pit,,,,,0.490556,9.4125,Clist 2004/05
Gif-8967,2070,40,0,,Okala 1,GAB,,Pit,,,,,0.490556,9.4125,Clist 2004/05
Gif-8968,2220,40,0,,Okala 1,GAB,,Pit,,,,,0.490556,9.4125,Clist 2004/05
Gif-8969,1650,40,,,Lékana,COG,,,,,,,-2.3333,14.583,Dupre/Pincon 1997; Garcin et al. 2018
Gif-8970,870,40,,,Kankouara 1,COG,,,,,,,-2.3167,14.5333,Dupre/Pincon 1997; Garcin et al. 2018
Gif-9377,2290,50,0,,Cap Esterias,GAB,,,,,,,0.577778,9.340556,Clist 2004/05
Gif-9378,40000,0,0,Charcoal,h 1,GAB,,,,,,,,,Clist 2004/05
Gif-9379,290,50,0,Shell (River/Ocean),Riviere Denis,GAB,1,,,,,0,0.322222,9.347778,Clist 2004/05
Gif-9391,3900,70,0,Charcoal,Grotte Paouan,GAB,,,,,,,-0.484,12.4515,Clist 2004/05
Gif-9392,5570,30,0,Charcoal,Grotte Paouan,GAB,,,,,,,-0.484,12.4515, Clist 2004/05
Gif-9394,500,50,,,Imbama,COG,,,,,,,-3.45,15.7,Dupre/Pincon 1997; Garcin et al. 2018
Gif-9395,900,40,,,Okiéni,COG,,,,,,,-3.1667,16.05,Dupre/Pincon 1997; Garcin et al. 2018
Gif-9396,180,50,,,Ngoulonkila 2,COG,,,,,,,-2.4167,14.5833,Dupre/Pincon 1997; Garcin et al. 2018
Gif-9397,1350,40,,,Masamasa 1,COG,,,,,,,-3.8833,14.8833,Dupre/Pincon 1997; Garcin et al. 2018
Gif-9398,890,40,,,Kankouara 2,COG,,,,,,,-2.3167,14.5333,Dupre/Pincon 1997; Garcin et al. 2018
Gif-9399,450,40,,,Kitsounga 1,COG,,,,,,,-3.9667,14.9333,Dupre/Pincon 1997; Garcin et al. 2018
Gif-9402,470,50,,,Ongia,COG,,,,,,,-2.4333,14.9833,Dupre/Pincon 1997; Garcin et al. 2018
Gif-9403,270,60,,,Oka,COG,,,,,,,-3.5833,15.25,Dupre/Pincon 1997; Garcin et al. 2018
Gif-9862,250,40,,,Lopé 10,GAB,,,,,,,-0.177778,11.604167,Assoko Ndong 2001; Garcin et al. 2018
Gif-9864,6760,120,0,Charcoal,Lope 2,GAB,,,,,,,-0.218056,11.5875,Assoko Ndong 2001; Clist 2004/05; Garcin et al. 2018
Gif-9865,9170,100,0,Charcoal,Lope 2,GAB,,,,,,,-0.218056,11.5875,Assoko Ndong 2001; Clist 2004/05; Garcin et al. 2018
Gif-9963,210,40,0,,Leledi 1,GAB,,,,,,,-0.5141,11.5522,Assoko Ndong 2001; Clist 2004/05; Garcin et al. 2018
Gif-9964,410,45,0,,Leledi 2,GAB,,,,,,,-0.3402,11.5083,Assoko Ndong 2001; Clist 2004/05; Garcin et al. 2018
Gif-9966,450,40,0,,Lefob 2,GAB,,,,,,,-0.2361,11.425,Assoko Ndong 2001; Clist 2004/05; Garcin et al. 2018
Gif-9967,80,60,0,,HVL 1,GAB,,,,,,,-0.2361,11.425,Assoko Ndong 2001; Clist 2004/05; Garcin et al. 2018
Gif-A99397,7120,80,,,Riviere Denis,GAB,1,,,,,0,0.322222,9.347778,Assoko Ndong 2001; Garcin et al. 2018
Gif-xxx,1280,80,,,Bankouop,CMR,,,,,,,5.6333,10.5833,Holl 1991; Garcin et al. 2018
GrA-26175,1720,35,,,Ndéba (Somié),CMR,,,,,,,6.2826,11.2638,de Saulieu et al. 2015; Garcin et al. 2018
GrN-13076,1450,45,0,Charcoal,Isaka-Elinga,COD,ISK 83/104,,,Lingonda,,1,-0.666969,20.202048,Eggert 1987; Wotzka 1995: 115
GrN-13077,440,50,0,Charcoal,Bamanya,COD,BAM 81/1,,,Bondongo,,0,0.00979,18.316297,Wotzka 1995: 138; see Seidensticker 2017: Tab. 21
GrN-13078,660,80,0,Charcoal,Bolondo,COD,BLD 83/1,,,Bondongo; Wema,,1,-0.305801,21.253168,"Wotzka 1995: 138, 171-172; see Seidensticker 2017: Tab. 21"
GrN-13583,2290,70,0,Charcoal,Bokele,COD,BKE 81/1,,,Imbonga,,1,-0.099389,18.59212,Eggert 1993; Wotzka 1995: 66-67; see Seidensticker 2017: Tab. 21
GrN-13584,1670,110,0,Charcoal,Maluba,COD,MLB 85/1-3-1,Pit,,Batalimo-Maluba,,1,2.806193,18.523706,Eggert 1993; Seidensticker 2017
GrN-13585,1990,60,0,Charcoal,Maluba,COD,MLB 85/1-3-2,Pit,,Batalimo-Maluba,,1,2.806193,18.523706,Eggert 1993; Seidensticker 2017
GrN-13586,500,90,0,Charcoal,Longa,COD,LON 81/1,,,Imbonga,,0,-0.247706,18.881382,Wotzka 1995: 66-67; see Seidensticker 2017: Tab. 21
GrN-14002,710,60,0,Charcoal,Baringa,COD,BAR 85/1,,,Bondongo,,1,0.729053,20.735732,Wotzka 1995: 138; see Seidensticker 2017: Tab. 21
GrN-14003,2090,70,0,Charcoal,Bokuma,COD,BOK 83/2,,,Inganda,,1,-0.114356,18.697792,Wotzka 1995: 84; see Seidensticker 2017: Tab. 21
GrN-14004,1670,70,0,Charcoal,Bokuma,COD,BOK 83/3,,,Bokuma/Lingonda,,1,-0.114356,18.697792,Wotzka 1995: 115; see Seidensticker 2017: Tab. 21
GrN-14005,2440,150,0,Charcoal,Boso-Njafo,COD,BSN 85/1,Pit,,Imbonga,,1,1.130547,19.209599,Wotzka 1995: 66-67; see Seidensticker 2017: Tab. 21
GrN-14006,2260,80,0,Charcoal,Boso-Njafo,COD,BSN 85/3,Pit,,Imbonga,,1,1.130547,19.209599,Wotzka 1995: 66-67; see Seidensticker 2017: Tab. 21
GrN-5752,2180,50,0,,Rurembo,RWA,,,,,,,,,van Noten 1982
GrN-5753,1655,60,0,,Rurembo,RWA,,,,,,,,,van Noten 1982
GrN-6019,5270,40,0,,Masango,BDI,,,,,,,,,van Noten 1982
GrN-6020,4400,40,0,,Masango,BDI,,,,,,,,,van Noten 1982
GrN-6108,100,45,0,,Ruzizi,BDI,,,,,,,-3.084618,29.258773,van Noten 1982
GrN-6109,190,45,0,,Ruzizi,BDI,,,,,,,-3.084618,29.258773,van Noten 1982
GrN-6110,1200,35,0,,Liavela,AGO,,,,,,,-14.966667,15.366667,van Noten 1982
GrN-6111,370,35,0,,Gaseke,RWA,,,,,,,-1.767514,29.550644,van Noten 1982
GrN-6112,1840,35,0,,Kamoa,COD,,,,,,,,,van Noten 1982
GrN-6113,2705,35,0,,Kamoa,COD,,,,,,,,,van Noten 1982
GrN-6282,3615,35,0,,Kamoa,COD,,,,,,,,,van Noten 1982
GrN-6283,430,45,0,,Kamoa,COD,,,,,,,,,van Noten 1982
GrN-6284,295,30,0,,Kamoa,COD,,,,,,,,,van Noten 1982
GrN-6285,1180,30,0,,Kamoa,COD,,,,,,,,,van Noten 1982
GrN-6286,4170,55,0,,Kamoa,COD,,,,,,,,,van Noten 1982
GrN-6287,6025,70,0,,Kamoa,COD,,,,,,,,,van Noten 1982
GrN-6917,14230,220,0,,Gbabiri,CAF,,,,,,,,,Van Noten 1977
GrN-6918,21210,400,0,,Gbabiri,CAF,,,,,,,,,Van Noten 1977
GrN-6919C,310,75,0,,Buru,COD,,,,Uele,,,3.738526,26.904011,van Noten 1982
GrN-6920C,275,55,0,,Buru,COD,,,,Uele,,,3.738526,26.904011,van Noten 1982
GrN-6947,75,65,0,,Hau,COD,,,,,,,3.5,19.3,van Noten 1982
GrN-6948,0,0,0,,Hau,COD,,,,,,,3.5,19.3,van Noten 1982
GrN-7041,0,0,0,,Hau,COD,,,,,,,3.5,19.3,van Noten 1982
GrN-7218,220,30,0,,Gombe-Point,COD,,Layer,,Groupe X,,1,-4.300597,15.280791,"van Noten 1982; Clist 2018: 235, 238 Tab. 18.2"
GrN-7219,3385,35,0,,Gombe-Point,COD,,T12,,Tshitolian/Upper,,1,-4.300597,15.280791,Cahen 1976: 592 Fig. 9; Cahen/Moeyersons 1977: 813 Tab. 1; van Noten 1982
GrN-7220,8095,50,0,,Gombe-Point,COD,,T12,,Lupemban/Tshitolian,,1,-4.300597,15.280791,Cahen 1976: 592 Fig. 9; Cahen/Moeyersons 1977: 813 Tab. 1; van Noten 1982
GrN-7221,27240,280,0,,Gombe-Point,COD,,,,Sangoan/Lupemban,,1,-4.300597,15.280791,Cahen/Moeyersons 1977: 813 Tab. 1; van Noten 1982
GrN-7244,720,45,0,,Gbabiri,CAF,,,,,,,,,Van Noten 1977
GrN-7245,2910,75,0,,Gbabiri,CAF,,,,,,,,,Van Noten 1977
GrN-7246,40700,1500,0,,Gbabiri,CAF,,,,,,,,,Van Noten 1977
GrN-7276,14840,80,0,,Gombe-Point,COD,,,,Lupemban/Tshitolian,,1,-4.300597,15.280791,Cahen/Moeyersons 1977: 813 Tab. 1; van Noten 1982
GrN-7277,41850,0,0,,Gombe-Point,COD,,,,Sangoan,,1,-4.300597,15.280791,Cahen/Moeyersons 1977: 813 Tab. 1; van Noten 1982
GrN-7278,5260,40,0,,Gombe-Point,COD,,,,Tshitolian/Upper,,0,-4.300597,15.280791,Cahen/Moeyersons 1977: 813 Tab. 1; van Noten 1982
GrN-7279,3525,35,0,,Gombe-Point,COD,,,,,,0,-4.300597,15.280791,van Noten 1982
GrN-7343,12050,250,0,,Gbabiri,CAF,,,,,,,,,Van Noten 1977
GrN-7344,16740,150,0,,Gbabiri,CAF,,,,,,,,,Van Noten 1977
GrN-7347,21630,410,0,,Gbabiri,CAF,,,,,,,,,Van Noten 1977
GrN-7348,22100,240,0,,Gbabiri,CAF,,,,,,,,,Van Noten 1977
GrN-7349,33000,1900,0,,Gbabiri,CAF,,,,,,,,,Van Noten 1977
GrN-7585,45,45,0,,Rya Murari,RWA,,,,,,,,,van Noten 1982
GrN-7588,155,45,0,,Rya Murari,RWA,,,,,,,,,van Noten 1982
GrN-7589,185,45,0,,Rya Murari,RWA,,,,,,,,,van Noten 1982
GrN-7668,2225,50,0,Charcoal,Gombe-Point,COD,,Layer,,,,0,-4.300597,15.280791,de Maret/Stainier 1999; Clist 2018: 238 Tab. 18.2
GrN-7669,915,20,0,Charcoal,Gombe-Point,COD,,Layer,,,,0,-4.300597,15.280791,Pincon 1991; Clist 2018: 238 Tab. 18.2
GrN-7670,2550,90,,Charcoal,Gombe-Point,COD,,Layer,,,,0,-4.300597,15.280791,de Maret 1982; Garcin et al. 2018; Clist 2018: 238 Tab. 18.2
GrN-7671,1075,95,0,,Akameru,RWA,,,,,,,,,van Noten 1982
GrN-7672,845,75,0,,Akameru,RWA,,,,,,,,,van Noten 1982
GrN-7673,1595,30,0,,Kabuye,RWA,,,,,,,-2.6,29.833333,van Noten 1982
GrN-8044,5450,30,0,,Gombe-Point,COD,,,,,,0,-4.300597,15.280791,de Maret 1985
GrN-8045,8345,45,0,,Gombe-Point,COD,,,,,,0,-4.300597,15.280791,de Maret 1985
GrN-8046,9675,40,0,,Gombe-Point,COD,,,,,,0,-4.300597,15.280791,de Maret 1985
GrN-8047,8495,40,0,,Gombe-Point,COD,,,,,,0,-4.300597,15.280791,de Maret 1985
GrN-8048,7830,50,0,,Gombe-Point,COD,,,,,,0,-4.300597,15.280791,de Maret 1985
GrN-8049,8350,120,0,,Gombe-Point,COD,,,,,,0,-4.300597,15.280791,de Maret 1985
GrN-8050,11880,120,0,,Gombe-Point,COD,,,,,,0,-4.300597,15.280791,de Maret 1985
GrN-8051,11450,60,0,,Gombe-Point,COD,,,,,,0,-4.300597,15.280791,de Maret 1985
GrN-8052,10410,90,0,,Gombe-Point,COD,,,,,,0,-4.300597,15.280791,de Maret 1985
GrN-8053,10165,50,0,,Gombe-Point,COD,,,,,,0,-4.300597,15.280791,de Maret 1985
GrN-8054,14430,120,0,,Gombe-Point,COD,,,,,,0,-4.300597,15.280791,de Maret 1985
GrN-8055,36400,580,0,,Gombe-Point,COD,,,,,,0,-4.300597,15.280791,de Maret 1985
GrN-8056,37450,650,0,,Gombe-Point,COD,,,,,,0,-4.300597,15.280791,de Maret 1985
GrN-8057,46500,1500,0,,Gombe-Point,COD,,,,,,0,-4.300597,15.280791,de Maret 1985
Hv-10580,2055,70,0,Charcoal,Obobogo,CMR,,,,,,,3.816667,11.504167,de Maret 1992
Hv-10581,6020,505,0,Charcoal,Obobogo,CMR,,,,,,,3.816667,11.504167,de Maret 1992
Hv-10582,2900,110,0,Charcoal,Obobogo,CMR,,,,,,,3.816667,11.504167,de Maret 1992
Hv-10583,3070,95,0,Charcoal,Obobogo,CMR,,,,,,,3.816667,11.504167,Eggert 1993
Hv-10586,5565,120,0,,Abeke,CMR,,,,,,,5.925278,10.158333,de Maret 1982
Hv-10587,885,55,0,,Shum Laka,CMR,,Trench,,,,,5.858611,10.077778,Lavachery/Cornelissen 2000
Hv-10588,1690,55,0,,Shum Laka,CMR,,Trench,,,,,5.858611,10.077778,de Maret 1992
Hv-10832,1990,95,0,,Obobogo,CMR,,,,,,,3.816667,11.504167,Eggert 1993
Hv-10833,2955,110,0,Charcoal,Obobogo,CMR,,,,,,,3.816667,11.504167,Eggert 1993
